"","Player","Pos","Age","Tm","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Yr"
"130","T.J. Ford","PG","22","MIL","72","2557","13.1","0.489","0.132","0.314","2.9","11.7","7.2","29.8","2.1","0.2","19.6","20","0.4","2.1","2.5","0.047","-1.1","-0.1","-1.2","0.5",2006
"131","Danny Fortson","C","29","SEA","23","276","8.5","0.622","0","0.843","13.4","20.9","17.1","1.1","0.8","0.6","27.1","15.6","0.2","0","0.2","0.038","-6.2","-2.9","-9.1","-0.5",2006
"132","Jeff Foster","C","29","IND","63","1581","15.1","0.581","0.016","0.636","16.9","24.8","20.9","5.1","1.4","1.2","16.7","11.3","2.8","2.9","5.7","0.174","-0.3","0.4","0","0.8",2006
"133","Adonal Foyle","C","30","GSW","77","1824","10.3","0.524","0","0.223","8.5","17.6","13","2.8","1.2","5.1","19.5","10","0.3","2.5","2.8","0.075","-3.4","1.7","-1.7","0.1",2006
"134","Richie Frahm","SG","28","TOT","33","342","9.4","0.517","0.7","0.1","1.1","10.2","5.7","10.2","0.6","0.4","7.1","15.6","0.2","0.3","0.5","0.071","-1.4","-0.8","-2.2","0",2006
"135","Steve Francis","PG-SG","28","TOT","70","2393","15.2","0.534","0.108","0.522","3.9","10.9","7.5","24.6","1.7","0.6","18.5","22.6","2.2","1.4","3.6","0.073","0.7","-0.7","0","1.2",2006
"136","Channing Frye","C","22","NYK","65","1572","18.1","0.541","0.014","0.358","10.6","18.5","14.5","6.6","1","2.5","11.6","24.2","2.6","0.9","3.5","0.108","0.7","-1.4","-0.7","0.5",2006
"137","Dan Gadzuric","C","27","MIL","74","885","17.2","0.55","0.003","0.288","12","19.3","15.6","4.9","1.5","3.9","9.1","19.8","1.3","1.1","2.5","0.134","-1.6","-0.1","-1.7","0",2006
"138","Deng Gai","C","23","PHI","2","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.015","-3.6","-3.5","-7.2","0",2006
"139","Reece Gaines","PG","25","MIL","12","54","6.7","0.472","0.167","0.333","0","0","0","8.7","1","0","6.8","12.5","0","0","0","0.004","-3.1","-2","-5.1","0",2006
"140","Francisco García","SF","24","SAC","67","1301","10.3","0.51","0.422","0.311","3.5","13","8.3","11.2","1.6","2.6","16.9","15.7","0","1.6","1.6","0.06","-2.1","1.3","-0.8","0.4",2006
"141","Kevin Garnett*","PF","29","MIN","76","2957","26.8","0.589","0.025","0.411","8.9","29.7","19.6","20.2","1.9","2.7","11.3","25.5","9","5.9","14.9","0.242","5.6","2.2","7.8","7.4",2006
"142","Pat Garrity","PF","29","ORL","57","938","9.1","0.546","0.533","0.153","4.2","9.9","7.1","6.5","0.7","0.8","12.8","15","0.8","0.4","1.2","0.062","-0.9","-1","-1.8","0",2006
"143","Pau Gasol","PF","25","MEM","80","3135","22.7","0.555","0.01","0.517","7.5","20","13.8","23.7","0.8","3.9","13.8","26.4","6.6","5.4","12","0.184","3.9","1.7","5.5","6",2006
"144","Devean George","SF","28","LAL","71","1542","11.3","0.484","0.376","0.202","6.3","14.6","10.5","6.9","2.3","1.7","10.4","15.3","0.7","2","2.6","0.082","-1.3","0.5","-0.8","0.4",2006
"145","Eddie Gill","PG","27","IND","41","122","9.9","0.408","0.511","0.511","0","13.8","7.1","15.8","4.8","0.6","14","24.5","-0.2","0.3","0.1","0.02","-4.7","3.5","-1.1","0",2006
"146","Manu Ginóbili","SG","28","SAS","65","1813","22.4","0.593","0.324","0.538","2.8","12","7.5","22.2","3","1","12.8","25","5.1","3.7","8.8","0.234","3.8","3","6.8","4.1",2006
"147","Gordan Giricek","SG","28","UTA","37","956","8.7","0.482","0.154","0.149","1.9","7","4.4","12.8","0.9","0.3","13.4","22.8","-0.6","0.4","-0.2","-0.01","-3.3","-2.3","-5.6","-0.9",2006
"148","Anthony Goldwire","PG","34","LAC","3","22","-5.5","0.143","0.286","0","0","5.1","2.6","12.8","0","0","12.5","16.8","-0.1","0","-0.1","-0.245","-9","-4","-13","-0.1",2006
"149","Ryan Gomes","PF","23","BOS","61","1376","14","0.548","0.025","0.42","9.3","16.9","13.2","6.8","1.3","0.3","11.6","15.9","1.9","1.2","3.1","0.108","0","-1.2","-1.2","0.3",2006
"150","Drew Gooden","PF","24","CLE","79","2174","17.6","0.552","0.005","0.396","12.8","23.5","18.1","4.4","1.3","1.7","12.2","18.6","3.6","2.9","6.6","0.145","0.5","-0.8","-0.2","1",2006
"151","Ben Gordon","SG","22","CHI","80","2482","14.5","0.531","0.332","0.233","2","8.1","5.1","17.3","1.6","0.2","12.4","26.3","1.8","2.6","4.4","0.086","0.7","-0.3","0.5","1.6",2006
"152","Joey Graham","SF","23","TOR","80","1581","10.2","0.564","0.21","0.321","4.2","15.1","9.4","6","1.2","0.6","16.3","16.5","1","0.3","1.3","0.038","-2.7","-1.1","-3.8","-0.7",2006
"153","Stephen Graham","SG","23","TOT","22","175","6.9","0.479","0.185","0.278","3.4","14.8","9.1","6.9","1.5","0.9","17.7","19.6","-0.2","0.2","0","0.009","-6","0.3","-5.8","-0.2",2006
"154","Danny Granger","SF","22","IND","78","1765","14.7","0.54","0.195","0.31","8.8","16","12.5","8.8","1.8","2.6","12.8","16.4","2.1","3","5.1","0.139","-0.7","1.8","1.1","1.4",2006
"155","Brian Grant","C","33","PHO","21","248","6.6","0.445","0","0.123","5","20.1","12.8","3.8","1","0.8","9.3","13.6","-0.1","0.3","0.2","0.041","-5.8","-0.2","-6","-0.3",2006
"156","Devin Green","SG","23","LAL","27","135","4.7","0.336","0.071","0.75","8.7","12.2","10.5","7.3","1.2","0","11.8","14.3","-0.2","0.1","-0.1","-0.018","-5.1","-1.5","-6.5","-0.2",2006
"157","Gerald Green","SG","20","BOS","32","374","13.1","0.541","0.145","0.268","3.3","9.9","6.7","8.5","1.8","0.8","12.5","21.7","0.2","0.3","0.5","0.064","-2.3","-1.2","-3.5","-0.1",2006
"158","Willie Green","SG","24","PHI","10","153","8.6","0.513","0.288","0.076","0.8","10.7","5.7","5.7","0.7","0","15","23.9","-0.2","0","-0.1","-0.038","-2.7","-3.4","-6.1","-0.2",2006
"159","Orien Greene","PG","23","BOS","80","1235","6.4","0.449","0.158","0.269","3.7","10.4","7.2","15.8","3.2","0.6","27.8","14.6","-1.8","1.4","-0.3","-0.013","-5.9","1.4","-4.4","-0.8",2006
"160","Adrian Griffin","SG","31","DAL","52","1245","11.6","0.521","0.01","0.26","7.4","14.4","11","10.8","2.2","0.6","14.6","10","1.4","1.5","2.9","0.113","-0.8","1.6","0.8","0.9",2006
"161","Eddie Griffin","C","23","MIN","70","1359","12.2","0.397","0.222","0.2","9.7","24.3","17.2","4.7","0.5","8.2","9.7","15.6","-1","2.6","1.5","0.055","-3.1","1.5","-1.6","0.1",2006
"162","Anthony Grundy","SG","26","ATL","12","108","16.6","0.589","0.395","0.368","1.1","18.3","9.5","14.7","3.4","0","16.9","22.4","0.1","0.1","0.2","0.095","-1.3","0.9","-0.4","0",2006
"163","Richard Hamilton","SG","27","DET","80","2825","18.2","0.553","0.091","0.229","3.5","7.3","5.4","18.6","1","0.4","10.6","27.4","5.3","2.4","7.6","0.13","1.7","-0.9","0.8","2",2006
"164","Zendon Hamilton","C","30","TOT","12","49","17.6","0.593","0","1.286","7.2","19.5","13.3","0","4.3","0","21.5","26.3","0","0.1","0.1","0.098","-2","0.4","-1.6","0",2006
"165","Anfernee Hardaway","SF","34","NYK","4","72","2","0.336","0.071","0.143","0","17.1","8.4","17","1.5","0","28.7","13.1","-0.2","0","-0.2","-0.101","-6.1","0.4","-5.7","-0.1",2006
"166","Matt Harpring","SF","29","UTA","71","1944","16.3","0.542","0.058","0.462","9.8","13.2","11.5","9.6","1.7","0.6","11.8","22","3.1","1.6","4.7","0.115","0.6","-1.2","-0.6","0.7",2006
"167","Al Harrington","PF","25","ATL","76","2782","16","0.513","0.157","0.287","5.5","17.4","11.3","15.8","1.6","0.4","12.4","25.6","2.6","1.2","3.8","0.065","0.4","-1.7","-1.3","0.5",2006
"168","Othella Harrington","C","32","CHI","72","824","11.1","0.53","0","0.451","7.6","13.9","10.7","8","0.4","1.2","15.7","21.2","0.2","0.9","1.1","0.063","-3.4","-0.4","-3.9","-0.4",2006
"169","Devin Harris","PG","22","DAL","56","1275","17.4","0.544","0.052","0.583","2.5","9.2","5.9","23.4","2.3","1","14.2","21.7","2.3","1.4","3.7","0.139","0.8","0.6","1.4","1.1",2006
"170","David Harrison","C","23","IND","67","1034","11.8","0.519","0","0.592","9.7","18.4","14.2","2.4","1.2","4.2","17.6","20.2","-0.4","1.9","1.5","0.068","-5.1","1.1","-4","-0.5",2006
"171","Jason Hart","PG","27","SAC","66","818","7.1","0.444","0.14","0.253","1.7","8.3","5.1","13.4","2","0.4","14.9","16.2","-0.7","0.8","0.1","0.006","-5.1","0.4","-4.7","-0.6",2006
"172","Udonis Haslem","PF","25","MIA","81","2491","13.7","0.558","0.003","0.337","8.2","21.2","15","5.9","1.1","0.5","10.5","14.1","3.9","3.1","7","0.134","-0.4","-0.1","-0.5","0.9",2006
"173","Trenton Hassell","SG","26","MIN","77","2514","9.5","0.512","0.037","0.286","4","6.2","5.2","13.2","0.9","0.9","15.2","15.4","0.7","1.6","2.3","0.044","-2.4","-0.6","-3.1","-0.7",2006
"174","Chuck Hayes","PF","22","HOU","40","535","18","0.589","0.01","0.429","14.9","24.1","19.6","4.6","2.6","2.1","8.8","12.2","1.2","1.1","2.4","0.212","0.2","1.6","1.8","0.5",2006
"175","Jarvis Hayes","SG","24","WAS","21","516","12.2","0.499","0.257","0.164","4.2","13.2","8.6","8.7","1.6","0.2","10.1","18.8","0.3","0.4","0.7","0.065","-0.9","-0.5","-1.4","0.1",2006
"176","Brendan Haywood","C","26","WAS","79","1879","13.8","0.542","0","0.519","12","17","14.5","3.9","0.8","4.3","15.5","14.9","2","1.9","3.9","0.099","-1.5","-0.2","-1.7","0.2",2006
"177","Luther Head","SG","23","HOU","80","2310","11.2","0.517","0.497","0.195","1.7","11.6","6.8","16.2","2.1","0.3","14.8","16.6","0.5","2.9","3.5","0.072","-1.3","1.1","-0.2","1.1",2006
"178","Alan Henderson","C","33","CLE","51","531","12.2","0.564","0","0.538","13.3","17.3","15.3","2.9","0.9","1.7","16.3","11.7","0.7","0.6","1.3","0.116","-1.3","-0.8","-2.1","0",2006
"179","Nenê","PF","23","DEN","1","3","-54.4","0","0","0","0","0","0","0","0","0","66.7","44.8","-0.1","0","-0.1","-1.312","-56.5","-14.2","-70.7","0",2006
"180","Grant Hill*","SF","33","ORL","21","613","19","0.552","0.033","0.42","3.1","12.7","8.1","14.6","2.1","0.8","10.8","24.9","1.1","0.6","1.7","0.13","1.5","0","1.5","0.5",2006
"181","Kirk Hinrich","PG","25","CHI","81","2955","15.5","0.528","0.316","0.291","1.1","10","5.6","28.9","1.6","0.6","13.4","21.4","4.1","3.5","7.6","0.124","1.1","0.6","1.8","2.8",2006
"182","Julius Hodge","SG","22","DEN","14","33","4.2","0.393","0","0.615","17.9","7","12.4","29.3","3.1","0","32.6","33.3","-0.2","0","-0.2","-0.219","-8.9","-2.8","-11.7","-0.1",2006
"183","Randy Holcomb","SF","26","CHI","4","11","8.2","1","0","0","10.5","0","5.2","0","0","0","0","4.1","0","0","0","0.15","-1","-0.8","-1.7","0",2006
"184","Robert Horry","PF","35","SAS","63","1182","13.5","0.499","0.493","0.233","7.3","16.7","12.1","10.1","2","3.1","11.3","14.7","1","2.5","3.6","0.145","0.4","2.8","3.1","1.5",2006
"185","Eddie House","PG","27","PHO","81","1421","15.2","0.512","0.416","0.054","1.2","8.9","5.2","16.4","1.5","0.6","8.9","26.9","0.5","1.1","1.6","0.054","0.8","-0.9","-0.2","0.7",2006
"186","Dwight Howard","PF","20","ORL","82","3021","19.3","0.565","0.002","0.679","12.1","29.2","20.9","7.2","1.2","3","15.9","21.3","4.2","4.4","8.6","0.137","1.1","-0.1","1","2.3",2006
"187","Josh Howard","SF","25","DAL","59","1915","19.3","0.536","0.085","0.359","7.9","15.3","11.7","10.4","1.9","1","8.4","22.9","4.4","2.3","6.7","0.168","2.2","0","2.2","2",2006
"188","Juwan Howard","PF","32","HOU","80","2537","12.5","0.499","0.005","0.222","7.9","16.7","12.4","8.4","1.1","0.3","12.4","20.2","0.6","3","3.7","0.069","-2","-0.6","-2.6","-0.4",2006
"189","Troy Hudson","PG","29","MIN","36","800","12.2","0.48","0.303","0.156","1.2","5.3","3.3","23.3","0.8","0.4","10.1","23.5","0.3","0.4","0.7","0.042","-0.1","-2","-2.1","0",2006
"190","Larry Hughes","SG","27","CLE","36","1281","14","0.504","0.162","0.412","2.4","12.6","7.4","17.5","2.2","1.3","15.2","23.6","0.3","1.5","1.8","0.067","-1.4","0.1","-1.3","0.2",2006
"191","Kris Humphries","PF","20","UTA","62","619","10.3","0.406","0.025","0.32","10.9","20","15.4","8.6","2","2.2","11.8","19.7","-0.6","0.8","0.2","0.019","-4","-0.5","-4.5","-0.4",2006
"192","Lindsey Hunter","PG","35","DET","30","353","10.5","0.427","0.43","0.04","3.3","10.2","6.7","27.1","3","0.2","16.4","16.4","0","0.5","0.5","0.066","-3.6","2","-1.6","0",2006
"193","Steven Hunter","C","24","PHI","69","1312","13.9","0.598","0","0.474","9.8","14.4","12.1","2.1","0.5","4.4","15.4","14.4","1.5","1","2.5","0.09","-1.4","-0.9","-2.4","-0.1",2006
"194","Andre Iguodala","SF","22","PHI","82","3086","14.8","0.598","0.23","0.507","4.4","13.8","9.1","12.9","2.3","0.5","15.4","14.7","4.9","2.6","7.5","0.116","0.2","0.4","0.6","2",2006
"195","Zydrunas Ilgauskas","C","30","CLE","78","2283","21.9","0.576","0.006","0.427","12.6","18.1","15.3","7.4","0.9","4.6","12.8","24.6","5.6","3.1","8.7","0.184","1.4","0.2","1.6","2.1",2006
"196","D.J. Mbenga","C","25","DAL","43","237","13.4","0.538","0.017","0.333","9.8","18.4","14.2","1.4","1.4","8.1","18.9","16.7","0","0.4","0.5","0.092","-4.7","2.1","-2.6","0",2006
"197","Allen Iverson*","PG","30","PHI","72","3103","25.9","0.543","0.122","0.455","1.7","7.1","4.4","34.9","2.3","0.2","10.2","35.8","8.8","1.8","10.6","0.165","5.8","-1","4.8","5.3",2006
"198","Royal Ivey","PG","24","ATL","73","978","8.4","0.467","0.038","0.125","3.7","8.2","5.9","12.2","1.3","0.5","7.6","14","0.6","0","0.7","0.034","-3.7","-0.9","-4.6","-0.6",2006
"199","Jarrett Jack","SG","22","POR","79","1599","12.3","0.528","0.178","0.374","1.3","10.8","6","23.2","1.4","0.1","17","17.8","1.1","0.1","1.2","0.035","-1.7","-1.4","-3.1","-0.4",2006
"200","Bobby Jackson","PG","32","MEM","71","1775","14.6","0.497","0.444","0.195","3","12.1","7.6","20.7","1.9","0","11.1","25","1","2.5","3.5","0.095","0.6","-0.2","0.4","1.1",2006
"201","Jermaine Jackson","PG","29","MIL","30","202","8.2","0.544","0.154","0.538","4.6","11.4","7.9","17.8","1","0.4","28.8","10.2","0.1","0.1","0.2","0.047","-2.6","-0.1","-2.7","0",2006
"202","Jim Jackson","SF","35","TOT","40","512","3","0.365","0.463","0.081","2.4","14","8.3","9.1","1.2","0.8","17.4","17.6","-1.3","0.5","-0.8","-0.078","-6.2","-0.3","-6.5","-0.6",2006
"203","Luke Jackson","SF","24","CLE","36","315","7.9","0.482","0.424","0.388","6","9.1","7.5","12.4","1.9","0.5","23.8","19.2","-0.3","0.3","0","-0.003","-3.3","-0.7","-4","-0.2",2006
"204","Marc Jackson","C","31","TOT","64","1027","12.5","0.512","0.005","0.222","9.7","15.4","12.5","7.9","0.7","0.6","13.8","21.5","0.3","0.9","1.2","0.057","-2.4","-1.8","-4.2","-0.6",2006
"205","Stephen Jackson","SG","27","IND","81","2910","13.6","0.512","0.295","0.297","2","10.1","6.2","14.2","1.9","1.1","13.5","24","0.5","3.9","4.4","0.073","-0.6","0.5","-0.1","1.4",2006
"206","Jerome James","C","30","NYK","45","406","6.3","0.494","0","0.331","11.6","15.7","13.6","5.2","0.4","4.6","26.9","21.2","-0.7","0.2","-0.5","-0.062","-8.2","-1.1","-9.3","-0.8",2006
"207","LeBron James","SF","21","CLE","79","3361","28.1","0.568","0.208","0.447","2.6","17.1","9.8","32.8","2","1.5","10.7","33.6","12","4.3","16.3","0.232","7.5","1.6","9.1","9.4",2006
"208","Mike James","PG","30","TOR","79","2925","19.8","0.583","0.311","0.275","1.8","9.5","5.5","28.2","1.3","0.1","13","25","7.7","-0.1","7.6","0.125","4","-2.2","1.8","2.9",2006
"209","Antawn Jamison","SF","29","WAS","82","3288","17.7","0.518","0.25","0.199","5.7","21.8","13.5","8.7","1.4","0.3","7.8","23.9","4.9","3.2","8.2","0.119","2.4","-1.2","1.2","2.7",2006
"210","Marko Jaric","PG","27","MIN","75","2102","11.7","0.468","0.235","0.244","3.5","9.6","6.7","22.5","2.8","0.8","16.8","17","-0.3","2.6","2.3","0.053","-2.1","1.4","-0.7","0.7",2006
"211","Šarunas Jasikevicius","PG","29","IND","75","1557","12.9","0.561","0.55","0.31","1.5","9.6","5.7","24.4","1.4","0.2","19.2","18","1.6","1.7","3.3","0.103","0.1","0","0.1","0.9",2006
"212","Al Jefferson","PF","21","BOS","59","1062","16.2","0.53","0.011","0.354","11.4","22.6","17.2","5","1.5","3.3","12.4","21.6","0.9","1.5","2.3","0.105","-1.7","-0.4","-2.1","0",2006
"213","Richard Jefferson","SF","25","NJN","78","3059","18.9","0.603","0.187","0.577","3.6","17.1","10.2","18","1","0.5","12.1","22.1","7.6","4.1","11.7","0.184","2.6","0.5","3.1","3.9",2006
"214","Jared Jeffries","PF","24","WAS","77","1951","11.6","0.5","0.12","0.405","9.5","13.2","11.3","11.6","1.5","2","16.8","13.4","1.4","1.7","3.1","0.076","-1.1","0.4","-0.8","0.6",2006
"215","Amir Johnson","SF","18","DET","3","39","20.3","0.85","0.3","0.4","9","3.1","6.1","13.4","0","3.7","25.4","19.2","0.1","0","0.2","0.208","1.1","-0.7","0.4","0",2006
"216","Anthony Johnson","PG","31","IND","75","1981","14.2","0.52","0.257","0.234","1.9","7.7","4.9","28.6","1.7","0.8","14.7","18.3","2.2","2.3","4.5","0.108","0.2","0.4","0.7","1.3",2006
"217","DerMarr Johnson","SG","25","DEN","58","924","11.7","0.545","0.523","0.137","2.4","9.6","6.1","9.5","1.4","2.1","12.4","17.9","0.5","0.8","1.3","0.07","-0.6","-0.2","-0.8","0.3",2006
"218","Ervin Johnson","C","38","MIL","18","81","3.1","0.419","0","0.118","7.2","28.4","17.6","3.7","0.6","2","21.9","12.9","-0.1","0.1","0","-0.01","-9.2","-0.7","-9.9","-0.2",2006
"219","Joe Johnson","SG","24","ATL","82","3340","17.9","0.537","0.258","0.237","3.4","8.8","6","29.1","1.6","0.7","14.8","24.6","5.5","0.4","6","0.086","3.1","-2.1","1","2.5",2006
"220","Linton Johnson","SF","25","TOT","36","524","10.1","0.476","0.242","0.181","8.9","19.1","13.8","4.5","1.2","1.9","14.8","16.8","-0.2","0.6","0.4","0.036","-3","-1.1","-4.1","-0.3",2006
"221","Dahntay Jones","SF","25","MEM","71","967","8","0.462","0.08","0.354","2.5","10.4","6.5","7","2.2","1.2","14.1","17.8","-0.9","1.5","0.6","0.029","-5.3","0.9","-4.4","-0.6",2006
"222","Damon Jones","PG","29","CLE","82","2089","9.3","0.538","0.756","0.102","0.8","6.8","3.8","12.6","0.9","0","9.7","12.6","2.2","1.1","3.4","0.077","-0.6","-0.5","-1.1","0.5",2006
"223","Dwayne Jones","PF","22","BOS","14","87","9.2","0.445","0","1.3","14.4","28.7","21.7","3.3","0.6","2.6","16","9.9","0","0.1","0.1","0.081","-3.8","-1","-4.8","-0.1",2006
"224","Eddie Jones","SG","34","MEM","75","2437","14.7","0.542","0.518","0.298","1.8","12","6.9","12.7","3","0.9","10.2","18.1","3","4.2","7.2","0.141","-0.1","2.3","2.2","2.6",2006
"225","Fred Jones","SG","26","IND","68","1837","11","0.517","0.335","0.286","1.2","9.3","5.3","14.5","1.6","0.8","14.5","18.7","0.4","2.2","2.6","0.069","-1.8","0.7","-1","0.4",2006
"226","James Jones","SF","25","PHO","75","1772","13.2","0.551","0.491","0.208","2.8","12.8","7.9","4.5","1.1","1.9","5.2","16.9","2.3","1.7","4","0.11","0.1","-0.2","-0.1","0.9",2006
"227","Jumaine Jones","PF","26","CHA","76","2089","12.1","0.506","0.455","0.164","5.5","16.1","10.4","5","1.7","0.8","8.6","18.3","1.2","1.8","3","0.068","-0.9","-0.9","-1.7","0.2",2006
"228","Chris Kaman","C","23","LAC","78","2560","15","0.57","0.003","0.357","8.9","24.5","17","5","0.9","3.2","17.7","17.9","1.8","4.3","6.1","0.114","-1.3","0.6","-0.7","0.8",2006
"229","Jason Kapono","SF","24","MIA","51","665","9","0.54","0.299","0.186","2.2","10","6.3","8.6","0.6","0.3","9.5","14.7","0.7","0.5","1.2","0.085","-2.3","-0.5","-2.8","-0.1",2006
"230","Mario Kasun","C","25","ORL","28","213","8.9","0.506","0","0.333","14.3","20.3","17.4","2.4","0.5","1.1","15.9","20.9","0.1","0.2","0.3","0.059","-7.2","-1.8","-9","-0.4",2006
"231","Viktor Khryapa","SF","23","POR","69","1492","11.5","0.516","0.088","0.325","9.1","15.8","12.4","9.8","1.8","1.5","17.7","15.1","0.6","0.7","1.3","0.042","-2.8","-0.5","-3.3","-0.5",2006
"232","Jason Kidd*","PG","32","NJN","80","2975","19.2","0.526","0.436","0.27","3.3","19.8","11.4","39","2.7","0.8","15.9","19.1","4.5","5.6","10.1","0.163","2.8","2.6","5.4","5.5",2006
"233","Andrei Kirilenko","SF","24","UTA","69","2604","20.7","0.556","0.16","0.678","7.4","18.4","12.9","20.5","2.1","7","17.6","20.5","3.6","4.3","7.9","0.145","3.4","3.1","6.6","5.6",2006
"234","Linas Kleiza","PF","21","DEN","61","519","13.2","0.51","0.075","0.468","8.7","17.4","13.1","4.6","1","1.9","7.1","19.4","0.6","0.6","1.2","0.111","-2.9","-0.8","-3.7","-0.2",2006
"235","Brevin Knight","PG","30","CHA","69","2351","17.3","0.478","0.017","0.407","1.6","9.9","5.5","42.3","3.4","0.1","15.3","20.3","2.5","2.5","4.9","0.101","0.4","1","1.4","2",2006
"236","Yaroslav Korolev","SF","18","LAC","24","127","4.8","0.392","0.233","0.333","4.8","7","5.9","10.3","1.2","0","14.9","14.7","-0.1","0.1","0","-0.013","-4.7","-0.9","-5.6","-0.1",2006
"237","Kyle Korver","SF","24","PHI","82","2563","12.3","0.577","0.576","0.156","1.2","11.1","6.2","10.2","1.3","0.8","10.8","16.2","3.2","1.3","4.6","0.086","0.3","-0.9","-0.6","0.9",2006
"238","Nenad Krstic","PF","22","NJN","80","2469","14.4","0.541","0.005","0.301","8.5","15.9","12.2","6.8","0.7","2.1","11.8","21.6","2","3.4","5.4","0.105","-1.9","-0.4","-2.2","-0.1",2006
"239","Toni Kukoc","PF","37","MIL","65","1018","11.9","0.491","0.493","0.188","3","14.7","8.8","21.5","1.7","1.3","17","17.4","0.2","0.9","1.1","0.053","-0.3","0.5","0.3","0.6",2006
"240","Raef LaFrentz","PF","29","BOS","82","2033","12","0.546","0.518","0.136","4.9","19.1","12.2","9","0.7","2.7","10","14.7","2.2","2","4.3","0.101","-0.4","0.2","-0.1","1",2006
"241","Maciej Lampe","C","20","TOT","6","28","-4.4","0.168","0","0.182","16.9","21.3","19","10","0","0","20.2","25.2","-0.2","0","-0.2","-0.332","-11.9","-6.4","-18.3","-0.1",2006
"242","David Lee","SF","22","NYK","67","1129","15.4","0.607","0","0.535","11.6","21.1","16.3","6.5","1.4","1.5","15.2","13.5","2","0.8","2.7","0.116","0.7","-0.6","0.1","0.6",2006
"243","Voshon Lenard","SG","32","TOT","26","458","10.9","0.467","0.408","0.162","1.3","10.8","6.1","15.6","2.4","0.7","13.2","23.7","-0.5","0.3","-0.1","-0.013","-1.9","-0.3","-2.2","0",2006
"244","Rashard Lewis","SF","26","SEA","78","2876","20","0.585","0.321","0.372","4.6","11.9","8.2","10.7","1.9","1.3","9.5","23.1","8.2","0.1","8.3","0.138","4.2","-1.6","2.7","3.4",2006
"245","Randy Livingston","PG","30","CHI","5","22","-3","0","0","0","5.2","15.6","10.4","6","2.3","0","33.3","6.2","-0.1","0","0","-0.045","-11.9","3.3","-8.6","0",2006
"246","Shaun Livingston","PG","20","LAC","61","1525","10.2","0.46","0.023","0.221","3.3","10.4","7","27.2","1.6","1.6","22.5","15","-0.5","1.8","1.3","0.041","-2.6","0.7","-1.9","0.1",2006
"247","John Lucas III","PG","23","HOU","13","107","7.7","0.417","0.25","0","2.2","3.2","2.7","20.3","2.5","0","16.3","19.2","-0.2","0.1","-0.1","-0.027","-3.8","-0.5","-4.4","-0.1",2006
"248","Tyronn Lue","PG","28","ATL","51","1234","15.5","0.585","0.304","0.33","1.2","6.9","4","21.7","1.1","0.2","13.5","20.4","2.8","-0.1","2.7","0.104","1.5","-2.2","-0.7","0.4",2006
"249","Arvydas Macijauskas","SG","26","NOK","19","135","8.3","0.462","0.293","0.366","2.6","6.3","4.4","6.1","2.8","0","14.4","19.2","-0.1","0.1","0","-0.001","-4.3","0","-4.2","-0.1",2006
"250","Mark Madsen","C","30","MIN","62","676","5.3","0.427","0.106","0.712","9.1","15.7","12.5","2.4","1.8","1.9","23.1","7.9","-0.3","0.9","0.6","0.043","-5.7","0.9","-4.8","-0.5",2006
"251","Corey Maggette","SF","26","LAC","32","943","18.9","0.584","0.189","0.683","3.6","16.6","10.4","12.1","1.1","0.3","13.8","27.7","1.9","1.1","3","0.154","1.6","-0.7","0.9","0.7",2006
"252","Jamaal Magloire","C","27","MIL","82","2465","11.1","0.494","0","0.541","10.4","27.4","18.8","3.6","0.6","2.6","17.9","17.2","-0.8","2.9","2","0.039","-3.3","-0.8","-4.1","-1.3",2006
"253","Stephon Marbury","PG","28","NYK","60","2193","16.4","0.532","0.134","0.421","1.4","8.4","4.9","31.7","1.5","0.1","14.6","22.2","3.5","0.3","3.9","0.084","1.8","-1.7","0.1","1.1",2006
"254","Shawn Marion","PF","27","PHO","81","3263","23.6","0.591","0.212","0.218","8.7","23.6","16.3","6.8","2.5","2.9","7.7","22.3","8.6","5.9","14.6","0.214","3.5","1.3","4.8","5.6",2006
"255","Sean Marks","PF","30","SAS","25","181","17.9","0.531","0.042","0.169","8","19.8","14","7","1.5","2.8","8.4","22","0.2","0.4","0.6","0.156","-1.1","1","-0.1","0.1",2006
"256","Donyell Marshall","PF","32","CLE","81","2077","13.4","0.517","0.589","0.183","5.9","22.3","14","4.8","1.5","1.5","11","18.2","1.4","2.8","4.2","0.097","0.2","-0.1","0.1","1.1",2006
"257","Rawle Marshall","SF","23","DAL","23","241","10.1","0.488","0.05","0.483","4.1","11.3","7.7","6.5","1.8","2.2","17.1","17","-0.1","0.3","0.2","0.043","-1.8","0","-1.8","0",2006
"258","Darrick Martin","PG","34","TOR","40","339","11.5","0.474","0.412","0.247","0.7","6.8","3.6","25.7","2.6","0","12.2","16.7","0.3","0.1","0.4","0.052","-1.6","-0.5","-2.1","0",2006
"259","Kenyon Martin","PF","28","DEN","56","1546","16.7","0.533","0.037","0.283","7.1","19.4","13.3","8.8","1.4","2.5","9.6","21.6","1.8","2","3.8","0.117","-0.3","0.4","0.1","0.8",2006
"260","Kevin Martin","SG","22","SAC","72","1913","14.8","0.604","0.328","0.407","3.6","12.3","8","8.3","1.5","0.3","11.2","17.4","3.6","1.9","5.5","0.137","0.4","0","0.4","1.2",2006
